Tanggal,Wilayah,Seri,Penjualan Harian (Unit),Sumber
2024-01-01,Asia,Redmi,156646,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-01,Europe,Redmi,64819,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-01,Latin America,Redmi,27008,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-01,Middle East & Africa,Redmi,21606,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-01,Asia,Xiaomi Flagship,18472,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-01,Europe,Xiaomi Flagship,7644,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-01,Latin America,Xiaomi Flagship,3185,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-01,Middle East & Africa,Xiaomi Flagship,2548,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-01,Asia,POCO,26354,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-01,Europe,POCO,10905,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-01,Latin America,POCO,4544,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-01,Middle East & Africa,POCO,3635,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-01,Asia,Black Shark,4187,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-01,Europe,Black Shark,1733,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-01,Latin America,Black Shark,722,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-01,Middle East & Africa,Black Shark,578,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-01,Asia,Other,16009,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-01,Europe,Other,6625,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-01,Latin America,Other,2760,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-01,Middle East & Africa,Other,2208,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-02,Asia,Redmi,167213,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-02,Europe,Redmi,69192,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-02,Latin America,Redmi,28830,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-02,Middle East & Africa,Redmi,23064,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-02,Asia,Xiaomi Flagship,19719,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-02,Europe,Xiaomi Flagship,8159,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-02,Latin America,Xiaomi Flagship,3400,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-02,Middle East & Africa,Xiaomi Flagship,2720,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-02,Asia,POCO,28132,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-02,Europe,POCO,11641,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-02,Latin America,POCO,4850,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
