Tanggal,Wilayah,Seri,Penjualan Harian (Unit),Sumber,Status,Avg_Sales,Max_Sales,Avg_LT,Max_LT,Safety_Stock,Reorder_Point
2024-01-01,Asia,Redmi,156646.0,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC,Actual,171395.99452054795,212156,3,5,546592.0164383561,1060780.0
2024-01-01,Europe,Redmi,64819.0,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC,Actual,70922.45205479451,87789,7,10,381432.8356164384,877890.0
2024-01-01,Latin America,Redmi,27008.0,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC,Actual,29551.035616438356,36579,14,21,354444.50136986305,768159.0
2024-01-01,Middle East & Africa,Redmi,21606.0,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC,Actual,23640.813698630136,29263,10,15,202536.86301369863,438945.0
2024-01-01,Asia,Xiaomi Flagship,18472.0,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC,Actual,20211.794520547945,25018,3,5,64454.61643835617,125090.0
2024-01-01,Europe,Xiaomi Flagship,7644.0,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC,Actual,8363.490410958904,10352,7,10,44975.56712328767,103520.0
2024-01-01,Latin America,Xiaomi Flagship,3185.0,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC,Actual,3484.772602739726,4314,14,21,41807.18356164383,90594.0
2024-01-01,Middle East & Africa,Xiaomi Flagship,2548.0,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC,Actual,2787.8356164383563,3451,10,15,23886.643835616436,51765.0
2024-01-01,Asia,POCO,26354.0,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC,Actual,28835.490410958904,35693,3,5,91958.5287671233,178465.0
2024-01-01,Europe,POCO,10905.0,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC,Actual,11931.94794520548,14769,7,10,64166.36438356164,147690.0
