Tanggal,Asia,Europe,Latin America,Middle East & Africa
2024-01-01,221668,91726,38219,30575
2024-01-02,236623,97912,40797,32637
2024-01-03,229748,95068,39611,31691
2024-01-04,225032,93117,38799,31039
2024-01-05,203505,84210,35087,28069
2024-01-06,224830,93033,38764,31011
2024-01-07,210163,86964,36235,28989
2024-01-08,218234,90304,37627,30102
2024-01-09,208096,86109,35879,28702
2024-01-10,224852,93043,38768,31015
2024-01-11,210036,86913,36213,28970
2024-01-12,218899,90579,37741,30193
2024-01-13,229688,95043,39601,31681
2024-01-14,234541,97051,40439,32350
2024-01-15,225622,93360,38900,31121
2024-01-16,221070,91478,38116,30492
2024-01-17,237172,98141,40892,32714
2024-01-18,196579,81344,33893,27115
2024-01-19,203637,84264,35110,28089
2024-01-20,205807,85163,35484,28387
2024-01-21,225869,93463,38944,31154
2024-01-22,221641,91714,38214,30572
2024-01-23,214131,88606,36918,29535
2024-01-24,235693,97528,40637,32509
2024-01-25,198855,82285,34285,27429
2024-01-26,214152,88615,36923,29539
2024-01-27,234717,97124,40468,32375
2024-01-28,217166,89861,37441,29953
2024-01-29,223466,92470,38530,30824
2024-01-30,196046,81122,33801,27041
2024-01-31,233605,96663,40276,32222
2024-02-01,227987,94340,39308,31447
2024-02-02,210040,86914,36213,28970
2024-02-03,205452,85015,35422,28339
2024-02-04,202635,83849,34937,27950
2024-02-05,239191,98976,41240,32991
2024-02-06,237431,98247,40936,32749
2024-02-07,214243,88653,36939,29550
2024-02-08,209245,86584,36076,28861
2024-02-09,199968,82746,34477,27581
2024-02-10,227344,94074,39197,31358
2024-02-11,209446,86667,36111,28889
2024-02-12,232908,96376,40156,32125
2024-02-13,239289,99015,41257,33005
2024-02-14,224952,93084,38785,31028
2024-02-15,220654,91305,38044,30434
2024-02-16,206234,85337,35557,28445
2024-02-17,212979,88130,36721,29377
2024-02-18,206602,85490,35621,28497
2024-02-19,240156,99375,41406,33124
2024-02-20,214068,88579,36909,29526
2024-02-21,228560,94576,39407,31525
2024-02-22,221328,91583,38160,30528
2024-02-23,207170,85726,35721,28575
2024-02-24,209319,86616,36089,28872
2024-02-25,212928,88107,36711,29369
2024-02-26,216177,89452,37272,29817
2024-02-27,211592,87554,36481,29185
2024-02-28,223964,92675,38615,30892
2024-02-29,201405,83340,34725,27780
2024-03-01,235650,97510,40628,32503
2024-03-02,228931,94730,39472,31576
2024-03-03,255851,105869,44112,35291
2024-03-04,264567,109477,45615,36493
2024-03-05,231701,95876,39948,31959
2024-03-06,260872,107947,44977,35983
2024-03-07,227913,94308,39296,31436
2024-03-08,238829,98826,41178,32941
2024-03-09,228014,94350,39313,31450
2024-03-10,241740,100030,41679,33344
2024-03-11,221542,91673,38196,30557
2024-03-12,238906,98858,41191,32953
2024-03-13,220568,91270,38029,30423
2024-03-14,257067,106372,44321,35459
2024-03-15,260174,107659,44857,35887
2024-03-16,217457,89983,37492,29995
2024-03-17,253026,104701,43625,34900
2024-03-18,262989,108823,45343,36275
2024-03-19,255948,105910,44129,35304
2024-03-20,228971,94747,39478,31583
2024-03-21,258461,106949,44563,35650
2024-03-22,264958,109637,45682,36545
2024-03-23,263108,108872,45363,36290
2024-03-24,239957,99293,41372,33097
2024-03-25,221072,91478,38116,30492
2024-03-26,224470,92883,38701,30961
2024-03-27,231097,95626,39845,31875
2024-03-28,240098,99351,41397,33118
2024-03-29,246817,102131,42554,34044
2024-03-30,227666,94207,39253,31402
2024-03-31,231255,95692,39872,31898
2024-04-01,250697,103736,43224,34579
2024-04-02,213967,88537,36890,29512
2024-04-03,231140,95644,39852,31881
2024-04-04,247510,102418,42673,34140
2024-04-05,227337,94070,39195,31357
2024-04-06,237201,98152,40896,32717
2024-04-07,217053,89816,37424,29938
2024-04-08,248861,102977,42907,34325
2024-04-09,246270,101905,42460,33968
2024-04-10,250588,103693,43205,34563
2024-04-11,257403,106512,44379,35504
2024-04-12,221493,91651,38187,30550
2024-04-13,247797,102536,42723,34178
2024-04-14,215165,89033,37096,29677
2024-04-15,254672,105383,43908,35127
2024-04-16,240509,99521,41467,33174
2024-04-17,221747,91757,38231,30586
2024-04-18,253009,104694,43622,34897
2024-04-19,218753,90518,37716,30172
2024-04-20,220084,91069,37946,30356
2024-04-21,232624,96258,40108,32086
