Tanggal,Redmi,Xiaomi Flagship,POCO,Black Shark,Other,Sumber
2024-01-01,271524,32019,45681,7258,27750,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-01-02,271146,31975,45617,7248,27711,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-01-03,259722,30628,43695,6942,26544,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-01-04,267756,31575,45047,7157,27365,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-01-05,261090,30789,43926,6979,26684,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-01-06,268909,31711,45241,7188,27483,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-01-07,241233,28447,40585,6448,24654,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-01-08,263043,31019,44254,7031,26883,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-01-09,275886,32534,46415,7374,28196,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-01-10,287081,33854,48298,7674,29340,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-01-11,286496,33785,48200,7658,29280,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-01-12,244625,28847,41155,6539,25001,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-01-13,278121,32797,46791,7434,28424,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-01-14,253713,29919,42684,6782,25930,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-01-15,281258,33167,47319,7518,28745,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
